track_count,style_genre_discogs400
2,Rock---Acoustic
2,Reggae---Calypso
2,Pop---Light Music
2,Non-Music---Radioplay
2,Non-Music---Poetry
2,Non-Music---Dialogue
2,Latin---Tejano
2,Latin---Ranchera
2,Latin---Porro
2,Latin---Merengue
2,Latin---Compas
2,Jazz---Modal
2,Jazz---Jazz-Funk
2,Jazz---Gypsy Jazz
2,Jazz---Bossa Nova
2,Hip Hop---Screw
2,Hip Hop---Pop Rap
2,Hip Hop---Britcore
2,Funk / Soul---Rhythm & Blues
2,"Folk, World, & Country---Gospel"
2,"Folk, World, & Country---Catalan Music"
2,Electronic---Trip Hop
2,Electronic---Italodance
2,Electronic---Hip Hop
2,Electronic---Goa Trance
2,Electronic---Dungeon Synth
2,Electronic---Darkwave
2,Electronic---Dance-pop
2,Electronic---Acid Jazz
2,Classical---Post-Modern
2,Classical---Classical
2,Blues---Modern Electric Blues
2,Blues---Electric Blues
2,Blues---Chicago Blues
1,Rock---Twist
1,Rock---Technical Death Metal
1,Rock---Surf
1,Rock---Southern Rock
1,Rock---Soft Rock
1,Rock---Progressive Metal
1,Rock---Post-Hardcore
1,Rock---Mod
1,Rock---Math Rock
1,Rock---Industrial
1,Rock---Funk Metal
1,Rock---Emo
1,Rock---Deathrock
1,Rock---Atmospheric Black Metal
1,Reggae---Rocksteady
1,Reggae---Reggae-Pop
1,Pop---Kayōkyoku
1,Pop---Europop
1,Pop---Bubblegum
1,Non-Music---Political
1,Latin---Son
1,Latin---Samba
1,Latin---Pachanga
1,Latin---Guaracha
1,Latin---Guajira
1,Latin---Cubano
1,Latin---Bossanova
1,Latin---Bolero
1,Jazz---Soul-Jazz
1,Jazz---Ragtime
1,Jazz---Post Bop
1,Jazz---Jazz-Rock
1,Jazz---Hard Bop
1,Jazz---Fusion
1,Jazz---Free Jazz
1,Jazz---Dixieland
1,Jazz---Bop
1,Hip Hop---Turntablism
1,Hip Hop---Trip Hop
1,Funk / Soul---Contemporary R&B
1,Funk / Soul---Boogie
1,"Folk, World, & Country---Séga"
1,"Folk, World, & Country---Pacific"
1,"Folk, World, & Country---Hindustani"
1,"Folk, World, & Country---Canzone Napoletana"
1,Electronic---Tribal House
1,Electronic---Speedcore
1,Electronic---Progressive Breaks
1,Electronic---Makina
1,Electronic---Leftfield
1,Electronic---Jumpstyle
1,Electronic---Italo House
1,Electronic---Illbient
1,Electronic---Hard Trance
1,Electronic---Halftime
1,Electronic---Glitch
1,Electronic---Euro-Disco
1,Electronic---EBM
1,Electronic---Dub
1,Electronic---Drone
1,Electronic---Donk
1,Electronic---Broken Beat
1,Electronic---Breakcore
1,Electronic---Berlin-School
1,Blues---Texas Blues
1,Blues---Piano Blues
1,Blues---Jump Blues
1,Blues---Harmonica Blues
1,Blues---Delta Blues
1,Blues---Country Blues
